,Province/State,Country/Region,Lat,Long,Date,Confirmed,Recovered,Deaths,Month-Year,Date Shifted,Confirmed Daily,Recovered Daily,Deaths Daily
56,Armenia,Armenia,40.0691,45.0382,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
57,Dominican Republic,Dominican Republic,18.7357,-70.1627,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
58,Indonesia,Indonesia,-0.7893,113.9213,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
59,Portugal,Portugal,39.3999,-8.2245,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
60,Andorra,Andorra,42.5063,1.5218,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
61,Tasmania,Australia,-41.4545,145.9707,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
62,Latvia,Latvia,56.8796,24.6032,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
63,Morocco,Morocco,31.7917,-7.0926,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
64,Saudi Arabia,Saudi Arabia,24.0,45.0,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
65,Senegal,Senegal,14.4974,-14.4524,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
66,Argentina,Argentina,-38.4161,-63.6167,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
67,Chile,Chile,-35.6751,-71.543,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
68,Jordan,Jordan,31.24,36.51,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
69,Ukraine,Ukraine,48.3794,31.1656,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
70,Hungary,Hungary,47.1625,19.5033,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
71,Northern Territory,Australia,-12.4634,130.8456,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
72,Liechtenstein,Liechtenstein,47.14,9.55,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
73,Poland,Poland,51.9194,19.1451,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
74,Tunisia,Tunisia,34.0,9.0,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
75,Bosnia and Herzegovina,Bosnia and Herzegovina,43.9159,17.6791,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
76,Slovenia,Slovenia,46.1512,14.9955,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
77,South Africa,South Africa,-30.5595,22.9375,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
78,Bhutan,Bhutan,27.5142,90.4336,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
79,Cameroon,Cameroon,3.848,11.5021,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
80,Colombia,Colombia,4.5709,-74.2973,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
81,Costa Rica,Costa Rica,9.7489,-83.7534,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
82,Peru,Peru,-9.19,-75.0152,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
83,Serbia,Serbia,44.0165,21.0059,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
84,Slovakia,Slovakia,48.669,19.699,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
85,Togo,Togo,8.6195,0.8248,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
86,Malta,Malta,35.9375,14.3754,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
87,Martinique,Martinique,14.6415,-61.0242,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
88,Bulgaria,Bulgaria,42.7339,25.4858,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
89,Maldives,Maldives,3.2028,73.2207,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
90,Bangladesh,Bangladesh,23.685,90.3563,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
91,Paraguay,Paraguay,-23.4425,-58.4438,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
92,Ontario,Canada,51.2538,-85.3232,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
93,Alberta,Canada,53.9333,-116.5765,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
94,Quebec,Canada,52.9399,-73.5491,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
95,Albania,Albania,41.1533,20.1683,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
96,Cyprus,Cyprus,35.1264,33.4299,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
97,Brunei,Brunei,4.5353,114.7277,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
98,Washington,US,47.4009,-121.4905,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
99,New York,US,42.1657,-74.9481,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
100,California,US,36.1162,-119.6816,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
101,Massachusetts,US,42.2302,-71.5301,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
102,Diamond Princess,US,35.4437,139.638,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
103,Grand Princess,US,37.6489,-122.6655,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
104,Georgia,US,33.0406,-83.6431,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
105,Colorado,US,39.0598,-105.3111,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
106,Florida,US,27.7663,-81.6868,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
107,New Jersey,US,40.2989,-74.521,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
108,Oregon,US,44.572,-122.0709,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
109,Texas,US,31.0545,-97.5635,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
110,Illinois,US,40.3495,-88.9861,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
111,Pennsylvania,US,40.5908,-77.2098,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
112,Iowa,US,42.0115,-93.2105,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
113,Maryland,US,39.0639,-76.8021,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
114,North Carolina,US,35.6301,-79.8064,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
115,South Carolina,US,33.8569,-80.945,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
116,Tennessee,US,35.7478,-86.6923,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
117,Virginia,US,37.7693,-78.17,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
118,Arizona,US,33.7298,-111.4312,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
119,Indiana,US,39.8494,-86.2583,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
